"No.","Time","Source","Destination","Protocol","Length","Info"
"839","2.546950","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [ACK] Seq=389602 Ack=1944 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"840","2.546950","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [ACK] Seq=390982 Ack=1944 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"841","2.546950","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [PSH, ACK] Seq=392362 Ack=1944 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"842","2.546950","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [ACK] Seq=393742 Ack=1944 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"843","2.547238","192.168.255.117","104.70.235.169","TCP","54","50087  >  443 [ACK] Seq=2047 Ack=395122 Win=4193 Len=0"
"844","2.549102","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [ACK] Seq=395122 Ack=1944 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"845","2.549102","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [PSH, ACK] Seq=396502 Ack=1944 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"846","2.549102","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [ACK] Seq=397882 Ack=1944 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"847","2.549102","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [ACK] Seq=399262 Ack=1944 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"848","2.549216","192.168.255.117","104.70.235.169","TCP","54","50087  >  443 [ACK] Seq=2047 Ack=400642 Win=4193 Len=0"
"849","2.550109","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [PSH, ACK] Seq=400642 Ack=1944 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"850","2.550109","104.70.235.169","192.168.255.117","TCP","1434","443  >  50087 [ACK] Seq=402022 Ack=1944 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
